,joint,end_effector
0,0.05875872791434999,0.01757927501050655
1,0.1046678241799572,0.02685846807543808
2,0.15676848268789634,0.03987909955576516
3,0.21111126299007618,0.05448884191225457
4,0.2671881412308851,0.06989359892478038
5,0.32461165018771115,0.08571077876797238
6,0.382972340530619,0.10168347910611347
7,0.44183074938277184,0.11771610709602448
8,0.5011071026621198,0.1337490470235831
9,0.5607239724614547,0.14962558960547762
10,0.620567760400918,0.1653448882082802
11,0.680380795984106,0.18072038868831494
12,0.7404326026235248,0.19598691712565883
13,0.7972192204112476,0.2111233908688952
14,0.843637752216744,0.2260663335137728
15,0.8827486710941566,0.24048956219591222
16,0.9198253639933871,0.2537261653577593
17,0.957935492312242,0.266766680701781
18,0.9956724280290147,0.27929349537370635
19,1.0308100670199551,0.29081491053956565
20,1.0647252587256615,0.30162834406941846
21,1.0987856326473613,0.3120550215091307
22,1.1336234249927108,0.3222326871788775
23,1.1694270096774082,0.332200319672508
24,1.2062003734252906,0.34197542970009964
25,1.243846633382958,0.35155176707630614
26,1.2824326965368855,0.360952316580767
27,1.3219502677544195,0.37017955296097654
28,1.362359587917151,0.3792394663933282
29,1.4035057051801514,0.38810490012646226
30,1.4452258994504583,0.3967591243154871
31,1.487423505680009,0.4051988274182901
32,1.530127771547868,0.4134221008011529
33,1.5722265792437033,0.42141977479823095
34,1.614469636096918,0.4291964628847106
35,1.657121576629401,0.43676235540164265
36,1.7002086798711762,0.44412491716080305
37,1.743715311635412,0.4512931242565648
38,1.787718132923453,0.45830546533402244
39,1.8317980978428254,0.4650353942742738
40,1.8753313668423708,0.47127658391848876
41,1.9177918413190087,0.47685307051004583
42,1.9588908313294957,0.4816749528417841
43,1.9986800636744992,0.4857795745359369
44,2.037255998284272,0.4892269593353612
45,2.074269434968053,0.4920759959140721
46,2.107419818934088,0.4943920621737515
47,2.135639656049186,0.4962636248559967
48,2.1592587854359855,0.49777880075183556
49,2.1790059603978524,0.4990212661396
50,2.1954928624833405,0.5000685013422338
51,2.2090447756282083,0.5009794548103298
52,2.2198813659907604,0.5018264045048839
53,2.2282126666173445,0.5026962577986582
54,2.2342671894609656,0.5036775472266475
55,2.2383574468365235,0.5048599664013101
56,2.240977521186935,0.5063304692889244
57,2.2428462577962147,0.5081374358485748
58,2.244530155766065,0.5103297698289654
59,2.246443018269744,0.5117674254645858
60,2.2380224573084457,0.5129589684438904
61,2.227500547736024,0.514444135088972
62,2.2172242544326295,0.5163740326496136
63,2.2074519894717803,0.5187241705565324
64,2.198429349665738,0.5214091807063066
65,2.1897459780558153,0.5203031365100003
66,2.175428017348974,0.5153248777923085
67,2.1534748215095654,0.5091226505550887
68,2.130268358421585,0.5024821888656078
69,2.1069099179144746,0.49507992750137875
70,2.083588465265301,0.4869457532319895
71,2.0603358681874857,0.4783224022121681
72,2.0372363450707525,0.46934118211951614
73,2.01446101663266,0.4602123891612367
74,1.9923361447192482,0.4511607187606716
75,1.9712140117381618,0.44252159310707184
76,1.9514836284985504,0.43450081232632276
77,1.93332165900281,0.42725133004568117
78,1.9167931369999753,0.4208132877462813
79,1.9019458352809302,0.4115880030181275
80,1.8892612616759454,0.39850790730854424
81,1.8790101558676784,0.38395674922459494
82,1.8707424787936406,0.3695965100992331
83,1.8642119924457525,0.3556613941749022
84,1.8592162341319836,0.3420960982483308
85,1.8554895234468498,0.3287238484925862
86,1.8532956864437207,0.31583533948268233
87,1.854197588429044,0.3060100447759788
88,1.858101497918322,0.29999823133721026
89,1.8646570050148028,0.2968859849520237
90,1.87366765398302,0.2950152050163044
91,1.8844144318609988,0.29206760498732026
92,1.8962794343287874,0.28316264153370924
93,1.9089534969504705,0.2728805207737402
94,1.922601276685071,0.2623816056562106
95,1.9371774239481185,0.2519640675695314
96,1.9523157949165224,0.2415016665335903
97,1.9674684321804816,0.2306071939420336
98,1.9826096847514616,0.21921364102986554
99,1.9977800932248722,0.20728305381621465
100,2.0127835010164556,0.1947978042902072
101,2.0278691013074517,0.18165412627446975
102,2.0432810375878083,0.16793459404185074
103,2.0592099352449837,0.15379715377234338
104,2.0758500002439932,0.1394937268744241
105,2.0659239270273386,0.14190389062602235
106,2.0753086758912813,0.13002167714986732
107,2.075083710036106,0.13301772908585746
108,2.0863445427696945,0.12085693859255861
109,2.1026109362439436,0.10638943909980764
110,2.1212650104169057,0.09364931640267024
