Our method,Previous RL based method,Previous RL based method +dymanic goal,ITOMP with STOMP optimizer,step
0.0258263507,0.4425215931,0.0701530896,0.0028114278,76
0.0236018299,0.4345008123,0.0707428381,0.0028023032,77
0.022284321,0.42725133,0.0710485351,0.0028004912,78
0.0209317976,0.4208132877,0.0710026482,0.0028001287,79
0.0190157101,0.411588003,0.0705029052,0.0028000556,80
0.0170005227,0.3985079073,0.0697733858,0.0028000409,81
0.0137425488,0.3839567492,0.0691377956,0.002800038,82
0.0086516048,0.3695965101,0.0685206342,0.0028000374,83
0.0063125864,0.3556613942,0.068053138,0.0028000373,84
0.0030527684,0.3420960982,0.0674327364,0.0028000373,85
0.0020723429,0.3287238485,0.0662435964,0.0028000373,86
0.0073900654,0.3158353395,0.0640832989,0.0028000373,87
0.0142573638,0.3060100448,0.0621103989,0.0028000373,88
0.019447118,0.2999982313,0.0622364001,0.0028000373,89
0.0180534846,0.296885985,0.0651905927,0.0028000373,90
0.0120686784,0.295015205,0.0688662116,0.0028000373,91
0.0091580555,0.292067605,0.0679053395,0.0028000373,92
0.0136312477,0.2831626415,0.0621074075,0.0028000373,93
0.0173074284,0.2728805208,0.0534950676,0.0028000373,94
0.0130410485,0.2623816057,0.0460745722,0.0028000373,95
0.0089081029,0.2519640676,0.0432721391,0.0028000373,96
0.0166107872,0.2415016665,0.0469050658,0.0028000373,97
0.0240673697,0.2306071939,0.057047177,0.0028000373,98
0.0194674207,0.219213641,0.0703816871,0.0028000373,99
0.0109463624,0.2072830538,0.0733537159,0.0028000373,100
0.0154973261,0.1947978043,0.0768046291,,101
0.0187728119,0.1816541263,0.0655839567,,102
0.0199687501,0.167934594,0.0721551325,,103
0.0204465198,0.1537971538,0.0741381777,,104
0.0212692397,0.1394937269,0.0780262121,,105
0.0210137407,0.1419038906,0.0685156984,,106
0.0203707902,0.1300216771,0.0745905106,,107
0.0197583009,0.1330177291,0.0763056744,,108
0.0196728111,0.1208569386,0.08048114,,109
0.0227620063,0.1063894391,0.0718016764,,110
0.029880115,0.0936493164,0.0769678088,,111
0.0363700127,,0.0780428174,,112
0.0358944835,,0.0823659322,,113
0.0325738698,,0.0734104552,,114
0.0339274011,,0.0780677722,,115
0.0371811318,,0.0787251244,,116
0.0402911525,,0.0762626277,,117
0.0423442927,,0.0719175306,,118
0.0356447718,,0.0675048013,,119
0.026605105,,0.0641940664,,120
0.017481624,,0.0671736824,,121
0.0111117163,,0.0853063893,,122
0.0134503625,,0.091429174,,123
,,0.0906167908,,124
,,0.0894699508,,125
,,0.0880716046,,126
,,0.0852191785,,127
,,0.0800346838,,128
,,0.0727580851,,129
,,0.0645425176,,130
,,0.0546414634,,131
,,0.0449398066,,132
,,0.0367438437,,133
