step,joint_human_far,eef_human_far,joint_human_nearby,eef_human_nearby,joint_no_guide_human_far,eef_no_guide_human_far
34,0.0989468556,0.0184954965,0.4211214306,0.1742486157,1.1590289959,0.2766310909
35,0.0908181336,0.0170979197,0.4480404083,0.1854824284,1.1677527654,0.2670912195
36,0.0873202242,0.0177092043,0.4776393669,0.1958609159,1.1788125827,0.2575193089
37,0.0829577559,0.0162154195,0.5056318146,0.2025842926,1.192147656,0.248962509
38,0.0819524402,0.0163420913,0.5225275257,0.2053506022,1.2072679136,0.2414924097
39,0.0791448979,0.0141533202,0.5418985614,0.204506265,1.2208269124,0.2341772143
40,0.0785214487,0.013294557,0.5607647368,0.1999272272,1.231906299,0.2260882124
41,0.0746771641,0.0092225441,0.5672115689,0.1914237357,1.2397693307,0.2171025895
42,0.0790609755,0.0082719159,0.5740747505,0.1762654254,1.2448092315,0.20774667
43,0.0746034974,0.005618288,0.5829475049,0.1684368393,1.2473850334,0.1986555669
44,0.0774392374,0.0079090545,0.5991739421,0.16206304,1.2452334685,0.1896701849
45,0.0817273324,0.0098836298,0.6190129577,0.1575437448,1.239319597,0.1808860837
46,0.0793118802,0.0090372603,0.6315086953,0.1503869956,1.2345514789,0.1739652801
47,0.0738617778,0.0082256643,0.6476501771,0.1392745534,1.2276440757,0.1683606841
48,0.0736168252,0.0086327323,0.6545448994,0.1328691698,1.2185425723,0.1641814648
49,0.0775564402,0.0085153916,0.6621217213,0.1229868514,1.207214426,0.1617710483
50,0.0764466151,0.0103106622,0.6462206908,0.1227587116,1.193962155,0.160879677
51,0.0747561107,0.0140782239,0.6358482854,0.1169047631,1.1797984058,0.161302961
52,0.0746881971,0.0190920572,0.612592449,0.1197519871,1.1658254707,0.163180486
53,0.0692421064,0.0196430601,0.5996518005,0.1168036952,1.152617343,0.1666747131
54,0.068965706,0.0167355035,0.5773854789,0.1227253549,1.1403968758,0.1717603887
55,0.066520242,0.0182712326,0.5649344653,0.1210263526,1.1275489612,0.1775010136
56,0.0689197794,0.0202429204,0.5473557025,0.1305150497,1.1153018964,0.1839196677
57,0.0698300767,0.0161533023,0.5390023791,0.1293383293,1.1033733075,0.1907961427
58,0.0742426772,0.0162923138,0.5265537996,0.1382054937,1.0919956326,0.1957516407
59,0.0764308313,0.0188873093,0.5143548275,0.140131515,1.0813359645,0.1915240122
60,0.0834564349,0.01351913,0.5086627018,0.1522375287,1.0648822519,0.1851656884
61,0.0887167992,0.0126627426,0.5097369122,0.1600585873,1.0485899142,0.1782295627
62,0.089655985,0.014692958,0.5092068552,0.1727566566,1.0338847164,0.1716347915
63,0.1024712827,0.0150495407,0.5111057757,0.1787382427,1.0207290373,0.1654439894
64,0.1186904725,0.0157670565,0.5126479766,0.183241002,1.00908866,0.1596502381
65,0.1210543584,0.0187530322,0.5172551479,0.1864333091,0.9982859526,0.1540984447
66,0.12584256,0.0174219771,0.5245416516,0.1873375616,0.9886049723,0.148991891
67,0.1395541465,0.0200685861,0.5354209977,0.1898785221,0.9803106479,0.1442212681
68,0.1474277138,0.0175319091,0.5466648678,0.1863492353,0.9739689969,0.1398892798
69,0.1536656792,0.0181228154,0.5568991663,0.1799673406,0.9693740935,0.1359177764
70,0.165417268,0.0177742679,0.5647943206,0.1784684142,0.9663093771,0.1321151139
71,0.1747743635,0.0185994914,0.5760912962,0.1696429955,0.9645904206,0.128448606
72,0.1664405203,0.0188082038,0.5621778864,0.1668817847,0.9638781891,0.1246770621
73,0.1560528311,0.0183330346,0.5661997281,0.1626288174,0.9641459161,0.1208917953
74,0.1440167018,0.0190061186,0.5624773124,0.1586243945,0.9613998163,0.116890538
75,0.134509824,0.0195942971,0.5658971879,0.1566230532,0.9448906254,0.1130150639
76,0.124943356,0.0204682642,0.5616152256,0.1540103483,0.9249694088,0.1097287265
77,0.1053235717,0.0195256405,0.5440117158,0.1507458976,0.9040902949,0.1070288197
78,0.0847898508,0.0171215405,0.5276308448,0.147445324,0.8834688615,0.1046503722
79,0.0674989554,0.0167285648,0.5101315075,0.1410306587,0.8634659364,0.1020579764
80,0.0540247766,0.0124647698,0.4855419946,0.1350333755,0.8423185123,0.0987529583
81,0.0506087804,0.0123506455,0.4591672976,0.1292977911,0.822389801,0.0961331673
82,0.0480033822,0.0127849752,0.4390055412,0.1237875014,0.804201219,0.0947071019
83,0.042210557,0.0138634719,0.420272294,0.1152797953,0.7886890078,0.096218099
84,0.0410363552,0.0152244961,0.3948539121,0.1092218645,0.7748990038,0.1007634788
85,0.0410738979,0.0155980582,0.3667185226,0.0993519643,0.7632918934,0.1050139909
86,0.0305358787,0.0133488114,0.3370979478,0.0878682438,0.7525666484,0.1097530922
87,0.03523573,0.0166741281,0.2985713759,0.0856876992,0.7416951781,0.115102907
88,0.0311826589,0.0151517799,0.2635303293,0.0797187935,0.7307485675,0.1211266924
89,0.0369392831,0.0187418144,0.228378298,0.069499998,0.7203515361,0.127376837
90,0.0412564856,0.0168033791,0.1932644458,0.0591458006,0.7108140964,0.1333788368
91,0.0373383728,0.0158659854,0.1575098661,0.0483436585,0.7015108255,0.1385274383
92,0.0367098107,0.0135925989,0.1245284693,0.0399383221,0.6919216274,0.1419972638
93,0.040730272,0.016646507,0.0975280408,0.030900184,0.6822531832,0.144215157
94,0.045460598,0.0162077036,0.0813803333,0.0239410058,0.6719349467,0.1456401885
95,0.0546104885,0.0203478734,0.0734541577,0.0187158412,0.6616244026,0.1466803116
96,0.0671551083,0.0230060124,0.0717190738,0.0148796938,0.6518893336,0.147439968
97,0.0793397563,0.0266007685,0.0718905328,0.0113428162,0.6427511161,0.1471310267
98,0.0844813292,0.027625269,0.0699636475,0.0087073193,0.6350054857,0.1446251434
99,0.0967209551,0.0281221747,0.0662650043,0.0081391555,0.6278460515,0.1405056653
100,0.0993591776,0.0290407643,0.0646041371,0.0101846335,0.6207538763,0.1353580188
101,0.1048502032,0.0265763508,0.06392735,0.0126908188,0.6146275672,0.1300004662
102,0.1058918539,0.0286356084,0.0705066372,0.0128357759,0.6097528315,0.1244726696
103,0.1118261691,0.027107745,0.0720549938,0.0137651953,0.5981715538,0.1181484086
104,0.1116583919,0.0288710706,0.0773633731,0.0135467663,0.5747347128,0.1119085646
105,0.1183008052,0.0276125626,0.0770342921,0.0141437761,0.5498356106,0.1053134304
106,0.1159668103,0.0296180335,0.0825140056,0.0130236951,0.5248670248,0.0985658856
107,0.1210568245,0.0296041086,0.0804581672,0.0129040169,0.4997158238,0.0915847284
108,0.1196296401,0.0311159679,0.087323816,0.011932568,0.4746051728,0.0846566723
109,0.1224502485,0.0313728278,0.0845696338,0.0121799771,0.4481227654,0.0764437958
110,0.1259889185,0.0288738152,0.0899205155,0.0081226946,0.4229033054,0.0693248601
111,0.1250124444,0.0291341676,0.0936523227,0.0053296783,0.3963288167,0.0633550297
112,0.1244767639,0.0281057222,0.0971167568,0.0058770559,0.3708955433,0.0581068678
113,0.1271067187,0.0263369528,0.1019354188,0.0050475064,0.3460781083,0.0536101286
114,0.1255716443,0.0156494419,0.1088609727,0.0051452454,0.3203008103,0.050170676
115,0.1142651484,0.0097638841,0.1092083932,0.0039299829,0.2924444143,0.0473000518
116,0.1181451772,0.0107405991,0.1138338415,0.0041484145,0.2644481023,0.0437618396
117,0.1293251834,0.0154530772,0.0955652691,0.0153871194,0.2377453072,0.0404882737
118,0.1389859956,0.0193339699,0.093388978,0.0162315636,0.2118214406,0.0364330896
119,0.1536492051,0.0235895615,0.1058078151,0.0117170496,0.2118214406,0.0364330896
120,0.1560244012,0.0226567257,0.1371757659,0.0105507731,0.2118214406,0.0364330896
121,0.1469212349,0.0240547381,0.156216135,0.0130027597,0.2118214406,0.0364330896
122,0.142634368,0.0254419542,0.1757672742,0.0119616769,0.2118214406,0.0364330896
123,0.1427179761,0.0245378057,0.1733309,0.0133761426,0.2118214406,0.0364330896
124,0.1368623728,0.0253582402,0.172515241,0.0150447971,0.2118214406,0.0364330896
125,0.1382334538,0.0253071931,0.1677760934,0.018734334,0.2118214406,0.0364330896
126,0.1385029372,0.0240315114,0.1614904469,0.019897459,0.2118214406,0.0364330896
127,0.1428211461,0.0224399342,0.1602180183,0.0212642713,0.2118214406,0.0364330896
128,0.1487589357,0.0219435354,0.1579744554,0.0229921767,0.2118214406,0.0364330896
129,0.1550360413,0.0228580218,0.1609552052,0.025262358,0.2118214406,0.0364330896
130,0.1611808375,0.0250993794,0.1655980381,0.0274120925,0.2118214406,0.0364330896
131,0.1611808375,0.0250993794,0.1691090639,0.0286221666,0.2118214406,0.0364330896
