Our method,Previous RL based method,Previous RL based method +dymanic goal,123,step,ITOMP with STOMP optimizer
0.0168053777,0.3745157712,0.0524002699,0.0357845752,28,0.0146597095
0.0198889022,0.3838263757,0.0705601995,0.0357845752,29,0.0146597095
0.0239322475,0.3927888169,0.0889730157,0.0357845752,30,0.0146597095
0.0247356993,0.4014152759,0.1073972245,0.0357845752,31,0.0146597095
0.0216117844,0.4097315484,0.1259968948,0.0357845752,32,0.0146597095
0.0178417856,0.4177702926,0.1435537441,0.0357845752,33,0.0146597095
0.0185976875,0.4255453751,0.161027577,0.0334629323,34,0.0146597095
0.0287257689,0.4330269979,0.1742673121,0.0316722727,35,0.0194692466
0.0342438452,0.4401756943,0.1814233654,0.0312986304,36,0.020431154
0.0417523099,0.4469514956,0.1859126589,0.0404557666,37,0.0176916483
0.049042522,0.4533171356,0.188696007,0.0422509025,38,0.0171437472
0.0524555482,0.459230431,0.1909652126,0.066927719,39,0.017034167
0.058235006,0.4645808821,0.1930840124,0.0820942618,40,0.0170122509
0.0646697671,0.4693125303,0.2015563657,0.0851275704,41,0.0170078677
0.07134014,0.4734260698,0.2099041208,0.0857342321,42,0.0170069911
0.0770479281,0.4769454804,0.2169429978,0.0858555644,43,0.0170068157
0.0800620282,0.4799195653,0.2221711764,0.0858798309,44,0.0170067807
0.0846521843,0.4824439184,0.2250778591,0.0858846842,45,0.0170067737
0.0914978501,0.4845618212,0.2272161863,0.0858856548,46,0.0170067723
0.0960950406,0.4862288737,0.2303765439,0.0855361987,47,0.017006772
0.0980341486,0.4875082931,0.2337476277,0.0854663075,48,0.0170067719
0.0988040832,0.4884072442,0.2365124557,0.0838554585,49,0.0170067719
0.1008282226,0.4890816985,0.2385248583,0.0843547724,50,0.0170067719
0.1134061408,0.4895736131,0.2394025856,0.0844546352,51,0.0170067719
0.1330824991,0.489984685,0.2388242161,0.0950663587,52,0.0170067719
0.1525733421,0.4904105569,0.236912169,0.1016182185,53,0.0170067719
0.1668905111,0.4909771632,0.2334888426,0.1222925355,54,0.0154041594
0.1750914616,0.491775942,0.2287532293,0.1264234874,55,0.0151125087
0.181408866,0.4928352062,0.2227924254,0.1272496777,56,0.0119057229
0.1883859154,0.4942840169,0.2161520409,0.1316900591,57,0.0082083614
0.1950779095,0.4946341998,0.2096289392,0.1325781353,58,0.0090184203
0.2001911241,0.4946439944,0.2032337598,0.1334489201,59,0.0230602545
0.1979440905,0.4950424418,0.1958505447,0.1327853333,60,0.0258686213
0.1985755611,0.4959202028,0.1879008295,0.1326526159,61,0.0264302947
0.1901734846,0.4973728534,0.1799971218,0.1326260725,62,0.0265426294
0.1841206764,0.4994563368,0.1718123457,0.1326207638,63,0.0265650963
0.1738903588,0.4935632103,0.1633970002,0.132619702,64,0.0265695897
0.1741698238,0.4853072659,0.1544158338,0.1326194897,65,0.0206894146
0.1788642409,0.4764064071,0.144535206,0.1326194472,66,0.025141433
0.1937301054,0.4677285783,0.1347600227,0.1115513829,67,0.0382985503
0.1983450174,0.4591412145,0.1263350037,0.10733777,68,0.0539263238
0.200324188,0.450721307,0.1218773716,0.112604764,69,0.0574405726
0.1994729077,0.4426459963,0.1218068165,0.1132821229,70,0.0916837083
0.1960882318,0.4349998997,0.1244484123,0.1167316135,71,0.1214609952
0.1951938879,0.4278255838,0.1282145008,0.1282608022,72,0.1293308829
0.1873268284,0.4211808348,0.1322526537,0.1330501392,73,0.146421403
0.185651316,0.4150688699,0.1368401353,0.1335939002,74,0.1518338081
0.1886635482,0.4094614054,0.142084733,0.1337026524,75,0.1878810006
0.1961861655,0.4035458001,0.1479984452,0.1323223949,76,0.2420305369
0.2056185893,0.3902156869,0.1555188355,0.1295935917,77,0.2656824849
0.2117895912,0.3753039623,0.1521438555,0.125358512,78,0.2960318178
0.203217237,0.3601072565,0.1524105569,0.1235171467,79,0.3235215622
0.1832731201,0.3448572017,0.1448867278,0.110760888,80,0.3290195111
0.1746070315,0.3297402171,0.1343929953,0.1082096363,81,0.3301191008
0.174509277,0.3148801699,0.1244925239,0.1076993859,82,0.3303390188
0.1752978658,0.3002482482,0.1156298597,0.1075973358,83,0.3303830024
0.1898894063,0.2873337118,0.1081344933,0.1075769258,84,0.3303917991
0.2076658431,0.2764957539,0.1018530136,0.1075728438,85,0.3303935585
0.2128753434,0.2680615575,0.0966017714,0.1075720274,86,0.3303939103
0.2041561362,0.263276296,0.0779006304,0.1075718641,87,0.3303939807
0.184028921,0.2618817596,0.0640770537,0.1198552751,88,0.3303939948
0.1644417214,0.2619809101,0.0573390488,0.1223119573,89,0.3303939976
0.1451929472,0.2631737167,0.0559308915,0.1201643046,90,0.3303939981
0.1287849228,0.2645578435,0.0555608161,0.1158615454,91,0.3303939983
0.1136446809,0.265527089,0.0513380765,0.1150009936,92,0.3303939983
0.0985780275,0.2652723836,0.0448940223,0.0654865686,93,0.2950823922
0.0877080661,0.2603408404,0.0413077165,0.0555836836,94,0.251926246
0.0841908572,0.2507480002,0.0402214069,0.0216500863,95,0.2297650781
0.0852167147,0.2401553642,0.0417614378,0.0262007388,96,0.2703144159
0.0822850232,0.2291031618,0.0474523485,0.0347599072,97,0.2898428299
0.0813764013,0.217656132,0.0576089861,0.0373345953,98,0.2716686437
0.0806999587,0.2057779786,0.0707249248,0.0389837402,99,0.2366189856
0.0717844489,0.1935103739,0.0743275398,0.0373279563,100,0.2296090539
0.0547690819,0.1808759607,0.0778099223,0.0369967995,101,0.2282070676
0.0376791587,0.167947879,0.0679782307,0.0369305681,102,0.2279266703
0.0208200033,0.1545197103,0.0734435103,0.0369173218,103,0.2278705909
0.0092202116,0.1407318489,0.074263247,0.0369146726,104,0.227859375
0.00816884,0.1427328752,0.0784826882,0.0369141427,105,0.2170843186
0.0094951879,0.1306821482,0.0745366215,0.0369140368,106,0.2138009358
0.0097582918,0.1332161455,0.0780554078,0.0369140156,107,0.1886465444
0.0080765403,0.1209688501,0.0747389626,0.0369140113,108,0.1665429289
0.0079574508,0.1064918847,0.0789224389,0.0267581367,109,0.1243904781
0.0157174313,0.0924311662,0.075398338,0.0372494517,110,0.0692092746
0.0203822397,0.0822850232,0.0722947798,0.0536563507,111,0.0608802892
0.0099787348,0.0806999587,0.0688973372,0.0595031841,112,0.0814449981
0.0086079585,0.0727844489,0.0624311599,0.06532042,113,0.0903827479
0.018349112,0.0714152536,0.0571197095,0.0745028889,114,0.0939412605
0.0292663711,0.0717844489,0.0614440363,0.103939447,115,0.0993061885
0.0391089735,0.0624152536,0.0786619825,0.1071540881,116,0.0875570648
0.036862334,,0.088319579,0.1079949574,117,0.0567557343
0.0368927377,,0.088597614,0.0998462539,118,0.0422672833
0.0402366083,,0.0869918212,0.0815660222,119,0.0195144196
0.0465508633,,0.0852807143,0.0347144784,120,0.0149638468
0.0547942946,,0.0824221938,0.0253441697,121,0.0140537323
0.0633367592,,0.0772069135,0.0234701079,122,0.005098067
0.0630648127,,0.0702966697,0.0185040943,123,0.0043096681
0.0587489695,,0.0624152536,0.0175108916,124,0.0041423824
0.0542771764,,0.052627282,0.0132654081,125,0.0041089252
0.0506898637,,0.043258914,0.0106853106,126,0.0040900016
0.0452864482,,0.0355059398,0.0085695835,127,0.0040822829
0.0362879178,,,0.0081464381,128,0.0040800045
,,,0.0068611044,129,0.0040795488
,,,0.006608763,130,0.0040793179
,,,0.0065582947,131,0.0040792335
,,,0.006549127,132,0.0040792087
,,,0.0065475495,133,0.0040792038
,,,0.006547234,134,0.0040792028
,,,0.0065472876,135,0.0040792028
,,,0.0065473605,136,0.004079203
,,,0.0065473924,137,0.0040792033
,,,0.0065473988,138,0.0040792033
,,,0.0065474032,139,0.0040792036
,,,0.006547404,140,
